---------------------------------------------------------------------------------------------------------------------------
| eventName                                                  | playerName                         | rank | time           |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Nicola Conci"                     | 12   | "05:47:19.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Guillaume Boivin"                 | 13   | "05:52:18.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Koen Bouwman"                     | 14   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Lorenzo Rota"                     | 15   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Antwan Tolhoek"                   | 16   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Primoz Roglic"                    | 17   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Simon Yates"                      | 18   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Jan Bakelants"                    | 19   | "05:52:20.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Brent Bookwalter"                 | 20   | "05:52:20.000" |
| "Vasto - l'Aquila - 185km"                                 | "Pello Bilbao"                     | 1    | "04:06:27.000" |
| "Vasto - l'Aquila - 185km"                                 | "Tony Gallopin"                    | 2    | "04:06:32.000" |
| "Vasto - l'Aquila - 185km"                                 | "Davide Formolo"                   | 3    | "04:06:32.000" |
| "Vasto - l'Aquila - 185km"                                 | "Lucas Hamilton"                   | 4    | "04:06:36.000" |
| "Vasto - l'Aquila - 185km"                                 | "Mattia Cattaneo"                  | 5    | "04:06:36.000" |
| "Vasto - l'Aquila - 185km"                                 | "Jose Rojas"                       | 6    | "04:06:57.000" |
| "Vasto - l'Aquila - 185km"                                 | "Sebastian Henao Gomez"            | 7    | "04:07:15.000" |
| "Vasto - l'Aquila - 185km"                                 | "Antonio Pedrero"                  | 8    | "04:07:28.000" |
| "Vasto - l'Aquila - 185km"                                 | "Valentin Madouas"                 | 9    | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Andrea Vendrame"                  | 10   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Tosh Van Der Sande"               | 11   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Enrico Battaglin"                 | 12   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Francesco Gavazzi"                | 13   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Rafal Majka"                      | 14   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Jan Bakelants"                    | 15   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Miguel Angel Lopez"               | 16   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Vincenzo Nibali"                  | 17   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Simon Yates"                      | 18   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Bob Jungels"                      | 19   | "04:07:34.000" |
| "Vasto - l'Aquila - 185km"                                 | "Primoz Roglic"                    | 20   | "04:07:34.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Caleb Ewan"                       | 1    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Elia Viviani"                     | 2    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Pascal Ackermann"                 | 3    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Fabio Sabatini"                   | 4    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Manuel Belletti"                  | 5    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Arnaud Demare"                    | 6    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Davide Cimolai"                   | 7    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Marco Canola"                     | 8    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Giacomo Nizzolo"                  | 9    | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Rudiger Selig"                    | 10   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Jose Rojas"                       | 11   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Valerio Agnoli"                   | 12   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Paul Martens"                     | 13   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Michael Gogl"                     | 14   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Andrey Zeits"                     | 15   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Amaro Antunes"                    | 16   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Davide Formolo"                   | 17   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Primoz Roglic"                    | 18   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Bob Jungels"                      | 19   | "05:43:32.000" |
| "Tortoreto Lido - Pesaro - 239km"                          | "Richard Carapaz"                  | 20   | "05:43:32.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Primoz Roglic"                    | 1    | "00:51:52.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Victor Campenaerts"               | 2    | "00:52:03.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Bauke Mollema"                    | 3    | "00:52:52.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Vincenzo Nibali"                  | 4    | "00:52:57.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Tanel Kangert"                    | 5    | "00:53:02.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Chad Haga"                        | 6    | "00:53:06.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Bob Jungels"                      | 7    | "00:53:08.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Hugh Carthy"                      | 8    | "00:53:22.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Pello Bilbao"                     | 9    | "00:53:35.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Mattia Cattaneo"                  | 10   | "00:53:44.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Jan Polanc"                       | 11   | "00:53:47.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Richard Carapaz"                  | 12   | "00:53:47.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Ilnur Zakarin"                    | 13   | "00:53:48.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Rafal Majka"                      | 14   | "00:53:56.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Diego Ulissi"                     | 15   | "00:54:00.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Ben O'Connor"                     | 16   | "00:54:03.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Victor De La Parte"               | 17   | "00:54:12.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Tom Leezer"                       | 18   | "00:54:24.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Sean Bennett"                     | 19   | "00:54:29.000" |
| "Riccione - San Marino (ITT) - 34.8km"                     | "Jon Izaguirre Insausti"           | 20   | "00:54:31.000" |
| "Ravenna - Modena - 145km"                                 | "Arnaud Demare"                    | 1    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Elia Viviani"                     | 2    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Rudiger Selig"                    | 3    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Caleb Ewan"                       | 4    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Giacomo Nizzolo"                  | 5    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Davide Cimolai"                   | 6    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Manuel Belletti"                  | 7    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Giovanni Lonardi"                 | 8    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Jasper De Buyst"                  | 9    | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Jacopo Guarnieri"                 | 10   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Fabio Sabatini"                   | 11   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Sean Bennett"                     | 12   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Tobias Ludvigsson"                | 13   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Roger Kluge"                      | 14   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Florian Senechal"                 | 15   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Josef Cerny"                      | 16   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Ramon Sinkeldam"                  | 17   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Viacheslav Kuznetsov"             | 18   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Marco Marcato"                    | 19   | "03:36:07.000" |
| "Ravenna - Modena - 145km"                                 | "Kristian Sbaragli"                | 20   | "03:36:07.000" |
| "Carpi - Novi Ligure - 221km"                              | "Caleb Ewan"                       | 1    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Arnaud Demare"                    | 2    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Pascal Ackermann"                 | 3    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Elia Viviani"                     | 4    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Davide Cimolai"                   | 5    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Simone Consonni"                  | 6    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Ryan Gibbons"                     | 7    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Giacomo Nizzolo"                  | 8    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Jakub Mareczko"                   | 9    | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Sean Bennett"                     | 10   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Juan Lobato Del Valle"            | 11   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Marco Canola"                     | 12   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Manuel Belletti"                  | 13   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Giovanni Lonardi"                 | 14   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Enrico Barbin"                    | 15   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Viacheslav Kuznetsov"             | 16   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Jose Rojas"                       | 17   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Marco Marcato"                    | 18   | "05:17:26.000" |
| "Carpi - Novi Ligure - 221km"                              | "Bob Jungels"                      | 19   | "05:17:26.000" |
