--------------------------------------------------------------------------------------------
| teamName               | playerName                                     | foulsCommitted |
| "Serbia"               | "Aleksandar Kolarov"                           | "2"            |
| "Serbia"               | "Player <http://example.com/Athlete/PO42593>"  | "2"            |
| "West Bromwich Albion" | "Conor Gallagher"                              | "1"            |
| "West Bromwich Albion" | "Matheus Pereira"                              | "2"            |
| "West Bromwich Albion" | "Mbaye Diagne"                                 | "2"            |
| "West Bromwich Albion" | "Okay Yokuslu"                                 | "1"            |
| "West Bromwich Albion" | "Player <http://example.com/Athlete/p.146426>" | "3"            |
| "West Bromwich Albion" | "Player <http://example.com/Athlete/p.164011>" | "2"            |
| "West Bromwich Albion" | "Player <http://example.com/Athlete/p.210407>" | "2"            |
| "West Bromwich Albion" | "Player <http://example.com/Athlete/p.232787>" | "1"            |
| "West Bromwich Albion" | "Semi Ajayi"                                   | "3"            |
--------------------------------------------------------------------------------------------
